,Unnamed: 0,Rating,Location,Headquarters,Size,Type of ownership,Sector,Revenue,Employer Provided Salary,Salary Per Hour,min salary,max salary,mean salary,Company,age,Company - Private,Company - Public,Government,Hospital,Nonprofit Organization,Other Organization,Subsidiary or Business Segment,le_sectors,mathematics,python, r ,machine learning,aws,cloud,excel,Senior/Junior,Role,No of competitors,Loc==HQ
0,0,3.8, NM, CA,501 - 1000 ,Company - Private,Aerospace & Defense,$50 - $100 million ,0,0,53,91,72.0,Tecolote Research,47,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,Data Scientist,0,0
1,1,3.4, MD, MD,10000+ ,Other Organization,Health Care,$2 - $5 billion ,0,0,63,112,87.5,University of Maryland Medical System,36,0,0,0,0,0,1,0,5,1,1,1,1,0,0,0,0,Data Scientist,0,1
2,2,4.8, FL, FL,501 - 1000 ,Company - Private,Business Services,$100 - $500 million ,0,0,80,90,85.0,KnowBe4,10,1,0,0,0,0,0,0,2,1,1,1,1,0,0,1,0,Data Scientist,0,1
3,3,3.8, WA, WA,1001 - 5000 ,Government,Other Sectors,$500 million - $1 billion ,0,0,56,97,76.5,PNNL,55,0,0,1,0,0,0,0,9,1,1,0,1,0,0,0,0,Data Scientist,3,1
4,4,2.9, NY, NY,51 - 200 ,Company - Private,Business Services,Unknown / Non-Applicable,0,0,86,143,114.5,Affinity Solutions,22,1,0,0,0,0,0,0,2,1,1,1,1,0,1,1,0,Data Scientist,3,1
5,5,3.4, TX, TX,201 - 500 ,Company - Public,Other Sectors,$1 - $2 billion ,0,0,71,119,95.0,CyrusOne,20,0,1,0,0,0,0,0,9,0,1,1,1,0,0,1,0,Data Scientist,3,1
6,6,4.1, MD, MD,501 - 1000 ,Company - Private,Finance,Unknown / Non-Applicable,0,0,54,93,73.5,ClearOne Advantage,12,1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,Data Scientist,0,1
7,7,3.8, CA, WA,201 - 500 ,Company - Private,Business Services,$25 - $50 million ,0,0,86,142,114.0,Logic20/20,15,1,0,0,0,0,0,0,2,1,1,0,1,1,0,1,0,Data Scientist,0,0
8,8,3.3, NY, NY,10000+ ,Hospital,Health Care,$500 million - $1 billion ,0,0,38,84,61.0,Rochester Regional Health,6,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,Data Scientist,0,1
9,9,4.6, NY, NY,51 - 200 ,Company - Private,Information Technology,$100 - $500 million ,0,0,120,160,140.0,<intent>,11,1,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,Data Scientist,2,1
10,10,3.5, CA, CA,501 - 1000 ,Company - Private,Retail,$1 - $2 billion ,0,0,126,201,163.5,Wish,9,1,0,0,0,0,0,0,10,0,1,1,1,0,0,0,0,Data Scientist,0,1
11,11,4.1, VA, VA,5001 - 10000 ,Company - Public,Business Services,$1 - $2 billion ,0,0,64,106,85.0,ManTech,52,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,Data Scientist,0,1
12,12,3.2, TX, AR,10000+ ,Company - Public,Retail,$10+ billion ,0,0,106,172,139.0,Walmart,58,0,1,0,0,0,0,0,10,0,0,1,0,0,0,0,0,Data Scientist,3,0
13,13,4.1, WA, WA,201 - 500 ,Company - Private,Business Services,Unknown / Non-Applicable,0,0,46,85,65.5,Yesler,8,1,0,0,0,0,0,0,2,0,1,1,0,1,0,1,0,Data Analyst,0,1
14,14,3.7, MA, Japan,10000+ ,Company - Public,Biotech & Pharmaceuticals,$10+ billion ,0,0,83,144,113.5,Takeda Pharmaceuticals,239,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,Data Scientist,3,0
15,15,3.6, NJ, NJ,1001 - 5000 ,Subsidiary or Business Segment,Other Sectors,Unknown / Non-Applicable,0,0,102,190,146.0,Audible,25,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,Data or ML Engineer,0,1
16,16,3.9, MA, MA,51 - 200 ,Company - Public,Biotech & Pharmaceuticals,$1 - $5 million ,0,0,67,137,102.0,Blueprint Medicines,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Data Scientist,3,1
17,17,4.3, CA, CA,201 - 500 ,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,118,189,153.5,h2o.ai,9,1,0,0,0,0,0,0,6,1,1,1,1,1,1,1,0,Data Scientist,0,1
18,18,4.2, CA, CA,51 - 200 ,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,110,175,142.5,Nuna,10,1,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,Data Scientist,0,1
19,19,4.0, CO, CO,501 - 1000 ,Nonprofit Organization,Insurance,$500 million - $1 billion ,0,0,64,111,87.5,Pinnacol Assurance,105,0,0,0,0,1,0,0,7,0,1,0,1,0,1,1,0,Data Scientist,0,1
20,20,3.2, WA, WA,201 - 500 ,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,81,130,105.5,Porch,8,1,0,0,0,0,0,0,6,1,1,1,1,0,1,0,0,Data Scientist,3,1
21,21,3.9, TX, CA,201 - 500 ,Company - Private,Insurance,Unknown / Non-Applicable,0,0,73,119,96.0,Health IQ,7,1,0,0,0,0,0,0,7,1,0,0,1,0,0,1,1,Data Scientist,0,0
22,22,3.8, IL, ID,501 - 1000 ,Company - Private,Other Sectors,Unknown / Non-Applicable,0,0,86,139,112.5,Truckstop.com,25,1,0,0,0,0,0,0,9,0,1,1,1,1,0,1,0,Data Scientist,0,0
23,23,4.3, KY, GA,51 - 200 ,Nonprofit Organization,Other Sectors,$10 - $25 million ,0,0,63,105,84.0,SMC 3,85,0,0,0,0,1,0,0,9,1,1,0,0,0,0,1,0,Data Scientist,0,0
24,24,4.0, VA, VA,501 - 1000 ,Company - Private,Information Technology,$100 - $500 million ,0,0,109,177,143.0,Novetta,8,1,0,0,0,0,0,0,6,0,1,1,1,1,0,0,0,Data Scientist,3,1
25,25,4.0, MA, NY,10000+ ,Company - Public,Biotech & Pharmaceuticals,$10+ billion ,0,0,63,110,86.5,Pfizer,171,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,Data Scientist,0,0
26,26,3.5, OR, CA,1001 - 5000 ,Company - Private,Finance,$100 - $500 million ,0,0,75,124,99.5,First Tech Federal Credit Union,68,1,0,0,0,0,0,0,4,0,1,1,1,1,0,1,0,Data Scientist,0,0
27,27,3.7, MA, MA,5001 - 10000 ,Company - Public,Insurance,$5 - $10 billion ,0,0,34,61,47.5,The Hanover Insurance Group,168,0,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,Data Analyst,0,1
28,28,4.0, CT, NY,10000+ ,Company - Public,Biotech & Pharmaceuticals,$10+ billion ,0,0,63,105,84.0,Pfizer,171,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Data Scientist,0,0
29,29,4.8, FL, FL,501 - 1000 ,Company - Private,Business Services,$100 - $500 million ,0,0,80,90,85.0,KnowBe4,10,1,0,0,0,0,0,0,2,1,1,1,1,0,0,1,0,Data Scientist,0,1
30,30,3.8, WA, WA,1001 - 5000 ,Government,Other Sectors,$500 million - $1 billion ,0,0,56,97,76.5,PNNL,55,0,0,1,0,0,0,0,9,1,1,0,1,0,0,0,0,Data Scientist,3,1
31,31,3.6, MI, MI,1001 - 5000 ,Company - Private,Other Sectors,$500 million - $1 billion ,0,0,72,120,96.0,Amrock,23,1,0,0,0,0,0,0,9,0,1,1,1,0,0,0,0,Data Scientist,0,1
32,32,3.8, MA, Switzerland,10000+ ,Company - Public,Biotech & Pharmaceuticals,$10+ billion ,0,0,86,143,114.5,Novartis,24,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,Data Scientist,0,0
33,33,3.8, CA, CA,5001 - 10000 ,Company - Public,Other Sectors,$2 - $5 billion ,0,0,93,149,121.0,Juniper Networks,24,0,1,0,0,0,0,0,9,0,1,0,1,0,1,1,0,Data Scientist,0,1
34,34,4.7, MA, MA,201 - 500 ,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,0,85,140,112.5,New England Biolabs,46,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,Data Scientist,3,1
35,35,4.2, CA, IL,201 - 500 ,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,77,135,106.0,Clarity Insights,12,1,0,0,0,0,0,0,6,0,1,1,0,0,0,1,0,Data Analyst,0,0
36,36,3.5, CA, CA,1001 - 5000 ,Company - Private,Information Technology,$1 - $2 billion ,0,0,82,132,107.0,Esri,51,1,0,0,0,0,0,0,6,1,1,1,1,1,1,0,0,Data Scientist,1,1
37,37,4.7, MA, MA,201 - 500 ,Company - Private,Aerospace & Defense,$100 - $500 million ,0,0,83,137,110.0,Systems & Technology Research,10,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,Data Scientist,0,1
38,38,3.5, CA, Germany,5001 - 10000 ,Company - Public,Biotech & Pharmaceuticals,$1 - $2 billion ,0,0,115,180,147.5,Sartorius,150,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,Data Scientist,0,0
39,39,3.5, NY, NY,201 - 500 ,Company - Private,Insurance,$100 - $500 million ,0,0,74,138,106.0,Lancer Insurance,35,1,0,0,0,0,0,0,7,1,1,1,0,0,0,1,0,Data or ML Engineer,0,1
40,40,4.2, CA, CA,201 - 500 ,Company - Private,Information Technology,$50 - $100 million ,0,0,64,112,88.0,Sauce Labs,12,1,0,0,0,0,0,0,6,0,1,1,0,1,1,1,0,Data Analyst,3,1
41,41,3.6, MA, MA,1 - 50 ,Company - Private,Other Sectors,Less than $1 million ,0,0,68,129,98.5,Persivia,-1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,Data or ML Engineer,0,1
42,42,4.2, CA, CA,51 - 200 ,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,110,175,142.5,Nuna,10,1,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,Data Scientist,0,1
43,43,3.4, NJ, CT,5001 - 10000 ,Company - Public,Manufacturing,$2 - $5 billion ,0,0,52,113,82.5,Edgewell Personal Care,5,0,1,0,0,0,0,0,8,0,0,1,0,0,0,0,0,Data Scientist,3,0
44,44,4.3, IL, IL,1001 - 5000 ,Company - Public,Other Sectors,$2 - $5 billion ,0,0,110,150,130.0,Equity Residential,27,0,1,0,0,0,0,0,9,1,1,1,1,0,0,1,1,Data Scientist,3,1
45,45,5.0, DC, VA,Unknown,Company - Private,Information Technology,Unknown / Non-Applicable,1,0,150,160,155.0,BPA Services,-1,1,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,Data Scientist,0,0
46,46,3.7, WA, CA,10000+ ,Company - Public,Information Technology,$10+ billion ,0,0,158,211,184.5,Visa Inc.,62,0,1,0,0,0,0,0,6,0,1,1,1,0,1,1,1,Data Scientist,3,0
47,47,3.1, CO, NE,5001 - 10000 ,Company - Private,Information Technology,$2 - $5 billion ,0,0,20,39,29.5,Intrado,34,1,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,Data Analyst,0,0
48,48,4.7, OH, VA,501 - 1000 ,Company - Private,Aerospace & Defense,$100 - $500 million ,0,0,56,117,86.5,Centauri,21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Data Scientist,3,0
49,49,3.7, IL, IL,10000+ ,Company - Public,Manufacturing,$10+ billion ,0,0,63,99,81.0,Caterpillar,95,0,1,0,0,0,0,0,8,1,0,1,0,0,0,0,0,Data Scientist,3,1
50,50,3.8, FL, FL,501 - 1000 ,Subsidiary or Business Segment,Business Services,Unknown / Non-Applicable,0,0,68,114,91.0,Zimmerman Advertising,36,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,Data Scientist,0,1
51,51,3.3, MA, MA,10000+ ,Company - Private,Insurance,$10+ billion ,0,0,86,143,114.5,Liberty Mutual Insurance,108,1,0,0,0,0,0,0,7,0,1,1,1,0,1,0,0,Data Scientist,3,1
52,52,4.6, AL, AL,1001 - 5000 ,Company - Private,Aerospace & Defense,$100 - $500 million ,0,0,41,95,68.0,"Torch Technologies, Inc.",18,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,Data Scientist,0,1
53,53,3.7, NY, Switzerland,10000+ ,Company - Public,Insurance,$10+ billion ,0,0,86,144,115.0,Swiss Re,157,0,1,0,0,0,0,0,7,1,1,1,1,0,0,1,0,Data Scientist,3,0
54,54,3.7, CA, VA,10000+ ,Company - Public,Aerospace & Defense,$10+ billion ,0,0,80,139,109.5,Northrop Grumman,81,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Data Scientist,0,0
55,55,3.5, NM, Germany,5001 - 10000 ,Company - Public,Biotech & Pharmaceuticals,$1 - $2 billion ,0,0,56,95,75.5,Sartorius,150,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,Data Scientist,0,0
56,56,4.1, CA, CA,501 - 1000 ,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,120,189,154.5,Netskope,8,1,0,0,0,0,0,0,6,0,1,1,1,0,1,1,0,Data Scientist,3,1
57,57,4.7, MO, MO,51 - 200 ,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,111,176,143.5,1904labs,4,1,0,0,0,0,0,0,6,0,1,1,1,0,0,0,0,Data Scientist,2,1
58,58,4.1, MD, MD,501 - 1000 ,Company - Private,Finance,Unknown / Non-Applicable,0,0,54,93,73.5,ClearOne Advantage,12,1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,Data Scientist,0,1
59,59,3.4, TX, TX,201 - 500 ,Company - Public,Other Sectors,$1 - $2 billion ,0,0,71,119,95.0,CyrusOne,20,0,1,0,0,0,0,0,9,0,1,1,1,0,0,1,0,Data Scientist,3,1
60,60,4.4, OH, OH,201 - 500 ,Subsidiary or Business Segment,Other Sectors,Unknown / Non-Applicable,0,0,82,132,107.0,The David J. Joseph Company,135,0,0,0,0,0,0,1,9,1,1,1,1,0,0,0,1,Data Scientist,0,1
61,61,4.3, NY, NY,201 - 500 ,Company - Private,Business Services,$10 - $25 million ,0,0,84,146,115.0,USEReady,9,1,0,0,0,0,0,0,2,0,1,1,1,1,1,0,0,Data Scientist,0,1
62,62,3.8, CA, CA,501 - 1000 ,Company - Public,Finance,$50 - $100 million ,0,0,107,172,139.5,Bill.com,14,0,1,0,0,0,0,0,4,0,0,0,1,0,1,0,1,Data Scientist,0,1
63,63,3.8, WA, WA,1001 - 5000 ,Government,Other Sectors,$500 million - $1 billion ,0,0,49,85,67.0,Pacific Northwest National Laboratory,55,0,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,Data Scientist,3,1
64,64,3.8, PA, PA,10000+ ,Company - Public,Retail,$5 - $10 billion ,0,0,61,109,85.0,DICK'S Sporting Goods - Corporate,72,0,1,0,0,0,0,0,10,1,1,1,1,0,0,0,0,Data Scientist,3,1
